year,id_,hrs2,wrkslf,spwrkslf,hapmar,divlaw,xmarsex,wkvsfam,stress,relatsex,ballot,lifenow,RBIOPRNT
2022,1,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Sometimes,Often,"No, the last time i had sex, it was not with someone i was in an on-going relationship with",Ballot c,7,.i:  Inapplicable
2022,2,.i:  Inapplicable,Someone else,SOMEONE ELSE,PRETTY HAPPY,.i:  Inapplicable,ALMST ALWAYS WRG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,3,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALMST ALWAYS WRG,Rarely,Hardly ever,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,5,.i:  Inapplicable
2022,4,25,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,SOMETIMES WRONG,Often,Sometimes,.i:  Inapplicable,Ballot a,8,.i:  Inapplicable
2022,5,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,.i:  Inapplicable,.i:  Inapplicable
2022,6,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,SOMETIMES WRONG,Often,Often,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,9,.i:  Inapplicable
2022,7,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,SOMETIMES WRONG,Often,Often,"No, the last time i had sex, it was not with someone i was in an on-going relationship with",Ballot c,7,No
2022,8,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,ALWAYS WRONG,Rarely,Sometimes,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,8,.i:  Inapplicable
2022,9,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,ALMST ALWAYS WRG,Sometimes,Hardly ever,.i:  Inapplicable,Ballot a,Best possible state,Yes
2022,10,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,11,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.s:  Skipped on Web,Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,12,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,SOMETIMES WRONG,Never,Hardly ever,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,8,.i:  Inapplicable
2022,13,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,Easier,.i:  Inapplicable,Rarely,Sometimes,.i:  Inapplicable,Ballot b,8,.i:  Inapplicable
2022,14,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Never,Sometimes,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,5,.i:  Inapplicable
2022,15,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,Yes
2022,16,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,Easier,ALWAYS WRONG,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot a,.i:  Inapplicable,.i:  Inapplicable
2022,17,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot b,.i:  Inapplicable,.i:  Inapplicable
2022,18,.i:  Inapplicable,Someone else,SOMEONE ELSE,VERY HAPPY,.i:  Inapplicable,.i:  Inapplicable,Sometimes,Hardly ever,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot b,8,.i:  Inapplicable
2022,19,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,ALWAYS WRONG,Often,Sometimes,"Yes, the last time i had sex, it was with someone i was in an on-going relationship with",Ballot c,6,Yes
2022,20,.i:  Inapplicable,Someone else,.i:  Inapplicable,.i:  Inapplicable,More difficult,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.n:  No answer,Ballot b,.i:  Inapplicable,.i:  Inapplicable
